City_ID,city,country,max_temp,lat,lng,Hotel Name
529,Tecoanapa,MX,79.86,16.5167,-98.75,Hotel Manglares
530,Tabou,CI,77.85,4.423,-7.3528,hotêl doufoulougou
532,Hambantota,LK,77.2,6.1241,81.1185,Bungalow 63
534,Anloga,GH,80.6,5.7947,0.8973,Pin Drop Hotel
542,Porto Walter,BR,76.44,-8.2686,-72.7439,Secretaria de saúde
544,Chake Chake,TZ,78.66,-5.2459,39.7666,Hotel Archipelago
547,Yaan,NG,76.68,7.3833,8.5667,
549,Bacong,PH,80.6,9.2464,123.2956,Sta Monica Beach Club
550,Barra Do Corda,BR,75.87,-5.5,-45.25,Belchior Palace Hotel
551,Matara,LK,75.65,5.9485,80.5353,Amaloh Boutique Resort
556,Bubaque,GW,81.64,11.2833,-15.8333,"Casa Dora, Bubaque"
557,Santiago De Cuba,CU,80.6,20.0247,-75.8219,Cubanacan San Felix
558,Soyo,AO,77.34,-6.1349,12.3689,Hotel Mpampa
560,Cassilandia,BR,80.55,-19.1133,-51.7342,Hotel Rafa Cassilândia
562,Guarapari,BR,79.0,-20.6667,-40.4975,Hotel Porto do Sol
565,Tomatlan,MX,75.92,19.9333,-105.25,Norma franco
570,Muli,MV,81.09,2.9167,73.5667,Medhufushi Island Resort
573,Auki,SB,82.67,-8.7676,160.7034,Auki Motel
575,Jaru,BR,75.45,-10.4389,-62.4664,Hotel Paraná
577,Padang,ID,75.36,-0.9492,100.3543,Mercure Padang
580,Swan Hill,AU,80.83,-35.3378,143.5544,Lazy River Motor Inn
581,Lazaro Cardenas,MX,78.42,17.9583,-102.2,Collection O Hotel Quinta Antigua
587,Lamu,KE,78.8,-2.2717,40.902,Lamu House
588,Quixeramobim,BR,78.4,-5.1992,-39.2928,Hotel Veredas do Sertão
590,Harper,LR,78.4,4.375,-7.7169,Screensaver
591,Trindade,BR,75.2,-16.6494,-49.4889,Pousada Central
593,Narrabri,AU,82.4,-30.3167,149.7833,Crossroads Hotel
594,Cap Malheureux,MU,79.0,-19.9842,57.6142,Pereybere Hotel & Spa
596,Meulaboh,ID,75.24,4.1363,96.1285,Kost Pria
598,Kieta,PG,77.92,-6.2167,155.6333,
610,Porto Novo,BJ,80.6,6.4965,2.6036,Tour Eiffel Hotel Benin
611,Labuhan,ID,80.15,-6.8844,112.2051,PT PPI Lamongan Tambak C
612,Kiunga,PG,84.33,-6.1219,141.2906,Airport Lodge Kiunga
620,Mahina,PF,84.2,-17.5065,-149.489,Guest Beach Bungalow Tahiti
621,Muisne,EC,76.5,0.6,-80.0333,Quinta Samay
622,Waihi Beach,NZ,79.0,-37.4,175.9333,Brass Bell Bed & Breakfast
628,Kokopo,PG,82.44,-4.352,152.2633,Kokopo Beach Bungalow Resort
631,Port-Gentil,GA,80.6,-0.7193,8.7815,Fengshui Residence
633,Katubao,PH,77.0,5.8892,124.8294,IML Ecopark
635,Vanimo,PG,85.03,-2.6741,141.3028,Vahmoneh Lodge Vanimo
637,Monkey Bay,MW,77.85,-14.0728,34.9201,Monkey Bay Beach Lodge
638,Luganville,VU,87.42,-15.5333,167.1667,The Espiritu Hotel
644,Camocim,BR,78.66,-2.9022,-40.8411,Hotel Ilha do Amor
648,Sulangan,PH,80.04,11.1373,123.7228,Maia's Beach Resort
653,La Asuncion,VE,76.77,11.0333,-63.8628,Colinas de Matasiete
658,Le Port,RE,78.8,-20.9373,55.2919,Villa Maido
666,Eirunepe,BR,76.15,-6.6603,-69.8736,Atrás de você
667,Cooma,AU,80.6,-36.2333,149.1333,High Country Motel
668,Alugan,PH,78.94,12.2188,125.4808,JM Lodge
