City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Tasiilaq,GL,2021-01-11 01:40:16,65.6145,-37.6368,19.4,58,90,1.14
123,Cherskiy,RU,2021-01-11 01:40:16,68.75,161.3,-34.98,83,39,0.65
124,Hambantota,LK,2021-01-11 01:40:16,6.1241,81.1185,73.4,100,90,3.44
125,Kaitangata,NZ,2021-01-11 01:40:17,-46.2817,169.8464,60.01,52,85,10.0
126,Mayo,US,2021-01-11 01:40:17,38.8876,-76.5119,35.6,80,1,3.69
127,Upernavik,GL,2021-01-11 01:40:17,72.7868,-56.1549,10.89,86,99,12.41
128,Adrar,MR,2021-01-11 01:40:17,20.5022,-10.0711,54.66,40,100,13.76
129,Sai Buri,TH,2021-01-11 01:40:17,6.7013,101.6168,75.2,88,75,8.05
130,Guerrero Negro,MX,2021-01-11 01:40:18,27.9769,-114.0611,61.02,37,0,3.4
131,Taunsa,PK,2021-01-11 01:40:18,30.7048,70.6505,51.6,34,0,4.27
132,Luderitz,NA,2021-01-11 01:40:18,-26.6481,15.1594,66.25,70,26,20.24
133,Kalianget,ID,2021-01-11 01:40:18,-7.05,113.9333,83.48,73,100,2.48
134,Cidreira,BR,2021-01-11 01:40:18,-30.1811,-50.2056,76.89,81,33,22.57
135,Dikson,RU,2021-01-11 01:40:19,73.5069,80.5464,21.76,98,100,14.36
136,Andenes,NO,2021-01-11 01:40:19,69.3143,16.1194,30.99,80,90,11.5
137,Patnos,TR,2021-01-11 01:40:19,39.2336,42.8634,19.04,85,3,0.65
138,Naron,ES,2021-01-11 01:40:20,43.5167,-8.1528,48.0,65,0,5.75
139,Port Alfred,ZA,2021-01-11 01:40:20,-33.5906,26.891,66.0,85,91,13.82
140,La Ronge,CA,2021-01-11 01:40:20,55.1001,-105.2842,23.0,74,100,2.3
141,Fort Nelson,CA,2021-01-11 01:40:20,58.8053,-122.7002,5.0,85,40,2.3
142,Teguldet,RU,2021-01-11 01:40:21,57.3064,88.1667,-10.89,90,75,3.24
143,Acari,PE,2021-01-11 01:40:21,-15.4311,-74.6158,71.56,69,100,4.16
144,Wilmington,US,2021-01-11 01:38:53,34.2257,-77.9447,39.2,75,1,3.44
145,Ugoofaaru,MV,2021-01-11 01:40:21,5.6667,73.0,81.21,70,100,3.94
146,Varberg,SE,2021-01-11 01:40:22,57.1056,12.2508,37.0,94,100,15.01
147,Vagur,FO,2021-01-11 01:40:22,61.4732,-6.8119,32.07,92,100,22.15
148,Smithers,CA,2021-01-11 01:40:06,54.7804,-127.1743,35.6,80,90,6.91
